"Timestamp","Do you live in a HDB Flat？","Do you live or are familiar with a HDB town/estate that is 20 years or older? (If you are unsure of how old the HDB estate is, please refer to the description above) ","What is your age？","What is your gender? ","How satisfied are you with the facilities and amenities in your HDB estate/ a HDB estate you are familiar with?","In terms of amenities and facilities, how elderly friendly is your HDB estate/ the HDB estate you are familiar with? (e.g. ramps, railings, clinics, senior activity centers, elderly fitness stations, senior citizens corner, etc.) ","Please indicate the reason(s) for your answer in the previous question.","Do you have any suggestions for improvements to make your HDB estate/ the HDB estate you are familiar with more elderly friendly? "
"2021/07/17 10:31:22 pm GMT+8","","No 不是","0 to 18 零 - 十八","Female 女性","5","5","very good","no"
"2021/07/17 10:31:30 pm GMT+8","","No 不是","0 to 18 零 - 十八","Female 女性","4","5","there is elderly friendly things like ramps for people who are wheel chair bound ","no"
"2021/07/17 10:32:39 pm GMT+8","","Yes 是","0 to 18 零 - 十八","Male 男","4","4","There is some construction from time to time but there are 2 mrt stations near by making transportation convenient ","No"
"2021/07/17 10:34:07 pm GMT+8","","Yes 是","65+ 六十五+","Prefer not to say 不想说","5","5","a lot of rocks i fall down","yes alot"
"2021/07/17 10:37:47 pm GMT+8","","Yes 是","0 to 18 零 - 十八","Female 女性","4","5","there are ramps instead of stairs from certain levels for easier transportation for elderly, especially for those on wheelchairs and other transportation vehicles.","some HDBs do not provide any fitness equipment suitable for the elderly."
"2021/07/17 11:15:37 pm GMT+8","Yes","Yes 是","0 to 18 零 - 十八","Male 男","5","5","",""
"2021/07/17 11:34:43 pm GMT+8","Yes 是","Yes 是","35 to 44 三十五至四十四","Female 女性","5","5","Ramps ","More ramps "
"2021/07/17 11:35:02 pm GMT+8","Yes 是","Yes 是","45 to 54 四十五至五十四","Male 男性","4","4","Good enough ","More short cuts for emergency service "
"2021/07/17 11:44:36 pm GMT+8","Yes 是","No 不是","45 to 54 四十五至五十四","Male 男性","3","3","Not many facility for elderly","No"
"2021/07/17 11:52:57 pm GMT+8","Yes 是","No 不是","45 to 54 四十五至五十四","Female 女性","4","4","There are ramps with handrails which allows for wheelchair mobility. But there are not that many clinics in the neighbourhood.","Shelters built across traffic junction, or bigger shelter for bus stops would be ideal for elderly ambulating using walking aids such as walking frame or rollator. Reason is these group of elderly will be able to venture further despite the wet weather. "
"2021/07/18 3:47:47 am GMT+8","Yes 是","Yes 是","45 to 54 四十五至五十四","Male 男性","4","5","Clean environment ","Many elderly travel to polyclinic to get their medicines. Maybe a place within the estate where they do not need to travel to get their check up and medication "
"2021/07/18 6:50:15 am GMT+8","Yes 是","Yes 是","45 to 54 四十五至五十四","Male 男性","5","5","Convenience with amenities within reach ","More sheltered ramps/pathways"
"2021/07/18 7:15:16 am GMT+8","Yes 是","Yes 是","45 to 54 四十五至五十四","Male 男性","5","5","Lots of elderly corner and rehab corner","Wheel chair friendly walkway"
"2021/07/18 7:55:44 am GMT+8","No 不是","","","","","","",""
"2021/07/18 8:20:19 am GMT+8","Yes 是","No 不是","45 to 54 四十五至五十四","Female 女性","3","3","Facilities nearby ramp provided","Not at momey"
"2021/07/18 8:34:21 am GMT+8","Yes 是","No 不是","25 to 34 二十五至三十四","Male 男性","4","4","There are plenty of elderly friendly facilities","None"
"2021/07/18 8:38:04 am GMT+8","No 不是","","","","","","",""
"2021/07/18 8:39:22 am GMT+8","Yes 是","Yes 是","45 to 54 四十五至五十四","Male 男性","4","4","sufficient elderly amenities ","nil"
"2021/07/18 8:40:26 am GMT+8","Yes 是","No 不是","35 to 44 三十五至四十四","Male 男性","4","4","Ramp at car park, near lift area ","NIL"
"2021/07/18 8:44:13 am GMT+8","Yes 是","No 不是","45 to 54 四十五至五十四","Male 男性","5","4","Floor are non slippery so good. ","To have non slippery toilet upgrade."
"2021/07/18 8:58:00 am GMT+8","Yes 是","Yes 是","35 to 44 三十五至四十四","Female 女性","4","4","Ramps, senior activity corners and elevators at overhead bridge ","More shelter to connect block to block"
"2021/07/18 9:00:37 am GMT+8","Yes 是","Yes 是","65+ 六十五以上","Female 女性","5","5","Yesnon","No."
"2021/07/18 9:01:02 am GMT+8","Yes 是","Yes 是","35 to 44 三十五至四十四","Male 男性","4","4","well facilitated but room for improvement","consistent maintenance is need to to those facilities "
"2021/07/18 9:02:42 am GMT+8","Yes 是","No 不是","35 to 44 三十五至四十四","Female 女性","3","4","There are fitness facilities meant for this age grp.","No comment."
"2021/07/18 9:03:28 am GMT+8","Yes 是","No 不是","35 to 44 三十五至四十四","Male 男性","4","4","N.A.","N.A"
"2021/07/18 9:05:29 am GMT+8","Yes 是","No 不是","25 to 34 二十五至三十四","Male 男性","5","5","Nil","Nil"
"2021/07/18 9:05:34 am GMT+8","Yes 是","No 不是","35 to 44 三十五至四十四","Female 女性","3","3","There’s exercise corner and playground in my estate ","To provide sheltered walkway"
"2021/07/18 9:09:20 am GMT+8","Yes 是","No 不是","35 to 44 三十五至四十四","Male 男性","3","3","No lift for overhead bridge","Build lift for overhead bridge"
"2021/07/18 9:16:36 am GMT+8","Yes 是","Yes 是","25 to 34 二十五至三十四","Female 女性","4","4","Na ","No"
"2021/07/18 9:16:43 am GMT+8","Yes 是","Yes 是","45 to 54 四十五至五十四","Female 女性","5","4","To have More facilities for wheel chair Handicapp ","Same as above, more shade for residents. "
"2021/07/18 9:21:47 am GMT+8","Yes 是","No 不是","25 to 34 二十五至三十四","Female 女性","4","4","There's elderly fitness corner and tcm clinic in the neighbourhood ","-"
"2021/07/18 9:23:16 am GMT+8","No 不是","","","","","","",""
"2021/07/18 9:23:42 am GMT+8","Yes 是","Yes 是","55 to 64 五十五至六十四","Male 男性","4","4","A lot of RAM up","More chairs"
"2021/07/18 9:25:31 am GMT+8","Yes 是","Yes 是","25 to 34 二十五至三十四","Female 女性","4","4","Amenities great and nearby (polyclinic , market, exercise corner, ramps, greenery","More resting area, sheltered paths"
"2021/07/18 9:25:49 am GMT+8","Yes 是","Yes 是","45 to 54 四十五至五十四","Male 男性","4","4","hand rails n elderly corner in the neighborhood","rejuvenate the elderly estate"
"2021/07/18 9:27:22 am GMT+8","Yes 是","Yes 是","35 to 44 三十五至四十四","Male 男性","4","5","My neighbourhood undergone the housing improvement programme 3 years ago so all houses are equipped with elderly friendly facilities such as handles in toilet, changing from overhead bridges to traffic lights","Nil"
"2021/07/18 9:33:07 am GMT+8","Yes 是","Yes 是","45 to 54 四十五至五十四","Female 女性","4","4","Easily accessible ","More covered linkway with barrier free pavement "
"2021/07/18 9:33:14 am GMT+8","Yes 是","Yes 是","35 to 44 三十五至四十四","Male 男性","4","5","Community centre, food centre are available.","Lift and walkway that are suitable for Wheel chair and elderly."
"2021/07/18 9:37:09 am GMT+8","Yes 是","No 不是","45 to 54 四十五至五十四","Female 女性","4","4","There are ramps with handrails which allows for wheelchair mobility. But there are not that many clinics in the neighbourhood.","Shelters built across traffic junction, or bigger shelter for bus stops would be ideal for elderly ambulating using walking aids such as walking frame or rollator. Reason is these group of elderly will be able to venture further despite the wet weather. "
"2021/07/18 9:37:12 am GMT+8","Yes 是","No 不是","45 to 54 四十五至五十四","Female 女性","4","3","No elderly fitness and senior citizen corner","Nik"
"2021/07/18 9:43:46 am GMT+8","Yes 是","No 不是","35 to 44 三十五至四十四","Female 女性","4","4","Sheltered walkway to the mrt creates convenience and there are benches along the way to the mrt, for the elderly to rest if they are tired. ","Signs make it bigger for elderly to see, cyclist track should be broader "
"2021/07/18 9:44:29 am GMT+8","Yes 是","Yes 是","35 to 44 三十五至四十四","Male 男性","5","4","More sheltered link way could be constructed.","As above."
"2021/07/18 9:49:08 am GMT+8","Yes 是","Yes 是","35 to 44 三十五至四十四","Male 男性","4","5","Community centre, food centre are available.","Lift and walkway that are suitable for Wheel chair and elderly."
